EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1390719,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-09T17:00:00,2025-07-09T19:00:00,37485782,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1390726,3.75+ Open Play,47676,Low Advanced,2025-07-09T17:00:00,2025-07-09T19:00:00,37486033,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343087,Ladies Night High Intermediate,40471, High Intermediate,2025-07-09T18:00:00,2025-07-09T20:00:00,37997202,#d69cbc,#1a1919,False,REDACTED,,18.0,,[],[],[]
1405578,3.75+ Open Play,47676,Low Advanced,2025-07-09T18:00:00,2025-07-09T20:00:00,37997500,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1382615,Cross Club 3.5-4.0 Tryout,51017,Cross Club Events,2025-07-09T19:00:00,2025-07-09T21:00:00,37222318,#eae323,#100f0f,False,REDACTED,,16.0,,[],[],[]
1404245,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-09T19:00:00,2025-07-09T22:00:00,37956615,#74d600,#000000,False,REDACTED,,12.0,,[],[],[]
1405585,ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-09T20:00:00,2025-07-09T22:00:00,37997695,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1342350,Closed Courts,46821,Closed Courts,2025-07-09T22:00:00,2025-07-09T23:59:00,37452287,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-07-10T07:00:00,2025-07-10T09:00:00,37452130,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-07-10T07:00:00,2025-07-10T09:00:00,40294323,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1389575,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-10T09:00:00,2025-07-10T11:00:00,37451609,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389629,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-10T09:00:00,2025-07-10T11:00:00,37452680,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1116968,Summer Kids Clinics - Ages 8-12,65804,Kids Summer Camp,2025-07-10T09:00:00,2025-07-10T14:00:00,31010385,#e74c6b,#000000,False,REDACTED,,10.0,,[],[],[]
1389743,Intro to Pickleball,61814,Intro to Pickleball,2025-07-10T10:00:00,2025-07-10T11:00:00,37455646,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1389664,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-10T11:00:00,2025-07-10T13:00:00,37453608,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-10T11:00:00,2025-07-10T13:00:00,37453995,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1284997,Glenn's Private Group,48032,Private Event,2025-07-10T11:00:00,2025-07-10T13:00:00,37658249,#a51662,#ffffff,False,REDACTED,,14.0,,[],[],[]
1389645,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-10T13:00:00,2025-07-10T15:00:00,37453166,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389648,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-10T15:00:00,2025-07-10T17:00:00,37453254,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389712,Guided Beginner,46559,Guided Beginner Social,2025-07-10T17:00:00,2025-07-10T18:00:00,37454908,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1389832,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-10T17:00:00,2025-07-10T19:00:00,37458007,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389853,3.75+ Open Play,47676,Low Advanced,2025-07-10T18:00:00,2025-07-10T20:00:00,37458750,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389856,Open Play High Intermediate 3.5,40471, High Intermediate,2025-07-10T18:00:00,2025-07-10T20:00:00,37458789,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1382590,Cross Club 3.0-3.5 Tryout,51017,Cross Club Events,2025-07-10T19:00:00,2025-07-10T21:00:00,37221735,#eae323,#100f0f,False,REDACTED,,16.0,,[],[],[]
1389843,4.0 Open Play,40425,Advanced,2025-07-10T20:00:00,2025-07-10T22:00:00,37458344,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
